FID,,longitude,latitude,Drought,area_km2,area_ha
,,47.37821198,11.15851974,severe,36.47425,3647.42491
,,47.3923378,11.16827774,severe,36.47425,3647.42491
,,47.40327072,11.16973782,severe,36.47425,3647.42491
,,47.42208862,11.17539215,severe,36.47425,3647.42491
,,47.4430275,11.17308998,severe,36.47425,3647.42491
,,47.44562912,11.17280293,severe,36.47425,3647.42491
,,47.45606613,11.17816353,severe,36.47425,3647.42491
,,47.46094894,11.17911911,severe,36.47425,3647.42491
,,47.47400284,11.17737293,severe,36.47425,3647.42491
,,47.49097824,11.18071079,severe,36.47425,3647.42491
,,47.50634384,11.18104839,severe,36.47425,3647.42491
,,47.5065431,11.18102618,severe,36.47425,3647.42491
,,47.49334507,11.02704912,severe,36.47425,3647.42491
,,47.44982084,10.96343679,severe,36.47425,3647.42491
,,47.34032824,10.76878328,severe,36.47425,3647.42491
,,47.20650395,10.59846145,severe,36.47425,3647.42491
,,47.04071005,10.44450997,severe,36.47425,3647.42491
,,42.93098568,1.943463868,extreme,436500,43650000
,,42.9100406,1.943463868,extreme,436500,43650000
,,42.78627421,1.952984359,extreme,436500,43650000
,,42.6910693,1.952984359,extreme,436500,43650000
,,42.52922095,1.972025342,extreme,436500,43650000
,,42.39593408,1.972025342,extreme,436500,43650000
,,42.1484013,1.972025342,extreme,436500,43650000
,,42.02463492,1.981545833,extreme,436500,43650000
,,41.85326608,1.981545833,extreme,436500,43650000
,,41.72949969,1.981545833,extreme,436500,43650000
,,41.68189723,1.981545833,extreme,436500,43650000
,,41.59621281,2.000586816,extreme,436500,43650000
,,41.52004888,2.03866878,extreme,436500,43650000
,,41.45340545,2.086271236,extreme,436500,43650000
,,41.36772102,2.171955657,extreme,436500,43650000
,,41.2820366,2.238599096,extreme,436500,43650000
,,41.25347513,2.343324499,extreme,436500,43650000
